,ds,yhat_lower,yhat,yhat_upper
0,2019-01-01,73547.5198860623,1070008.641284313,2051231.803125893
1,2019-01-02,241645.925840655,1180327.4989242277,2181566.966536495
2,2019-01-03,377810.04017807916,1312933.4452264092,2304830.2424923982
3,2019-01-04,384853.5433029375,1316438.0815606553,2322039.810716916
4,2019-01-05,333007.85424395354,1330908.7505448277,2364153.0169525994
5,2019-01-06,229811.45309236785,1247841.6208423672,2188070.4216341074
6,2019-01-07,214838.5406524218,1250722.645112667,2162134.6494983425
7,2019-01-08,341991.55394391745,1321724.1176884403,2355346.600448112
8,2019-01-09,458844.55872667633,1402165.802456722,2331683.624457114
9,2019-01-10,478372.91625328973,1504484.4011538122,2433766.8643039837
10,2019-01-11,461513.41400010267,1478225.6687870165,2381387.3797692633
11,2019-01-12,486383.24890513933,1464330.1050927038,2387836.2952197986
12,2019-01-13,302219.19804414245,1355082.6748471505,2413040.8173254193
13,2019-01-14,377279.52134448476,1334653.2646604723,2364409.9565321724
14,2019-01-15,427426.7115640773,1385776.144497792,2400399.429174271
15,2019-01-16,478723.55262209853,1450197.845454366,2467470.2260811804
16,2019-01-17,583624.7965847729,1540637.5524381984,2442902.757264731
17,2019-01-18,551670.4567925528,1506774.526019987,2484930.1267087944
18,2019-01-19,472078.5032901617,1489533.5637678786,2483231.6870653722
19,2019-01-20,422443.57383403875,1381038.9076674685,2352806.813549724
20,2019-01-21,434312.8962019008,1365163.1334935636,2328144.2264752416
21,2019-01-22,457637.1045488228,1424218.9987199279,2428444.1589242076
22,2019-01-23,454135.6619422358,1499423.2577481773,2457955.1729391995
23,2019-01-24,609096.6730764745,1602876.0416236762,2567681.421711934
24,2019-01-25,671289.6996781079,1583553.4727301379,2576844.568928148
25,2019-01-26,578378.9151097293,1581665.1625551027,2566737.6316854623
26,2019-01-27,543808.1893032638,1488583.717758767,2452935.7458124454
27,2019-01-28,531556.312751067,1487434.6428104208,2454908.7506255913
28,2019-01-29,559196.8512073907,1559812.590220056,2569100.69811004
29,2019-01-30,674574.1487604496,1646268.5043166506,2573635.195316729
30,2019-01-31,712663.9271196538,1758310.569667021,2745748.655175418
31,2019-02-01,713034.7344473649,1744432.2609793697,2673157.675031266
32,2019-02-02,758720.580969468,1744437.2927490533,2671716.6497722906
33,2019-02-03,555937.3709957983,1649430.7032171853,2624250.9496185216
34,2019-02-04,729386.6367967776,1642401.5099936977,2636037.647412595
35,2019-02-05,698328.724823416,1704943.9201871292,2737284.924510185
36,2019-02-06,748375.6514711436,1777745.2431104202,2694578.2667620718
37,2019-02-07,846121.589150595,1872583.3986021415,2802770.252029119
38,2019-02-08,860491.477027275,1838347.4238660475,2843030.0049093007
39,2019-02-09,708315.64834896,1815351.0003553252,2770391.9698500163
40,2019-02-10,716450.8822222298,1695308.5726724258,2625618.71872487
41,2019-02-11,621314.0563582821,1661899.9363524627,2662904.344357434
42,2019-02-12,789312.5926640813,1697470.806921254,2642391.8327222676
43,2019-02-13,786780.6404636423,1743498.1223993376,2836610.1289090845
44,2019-02-14,867730.4650871406,1812563.6342403737,2796833.2027797746
45,2019-02-15,816224.2718807798,1754349.8882650111,2799274.9020355246
46,2019-02-16,784560.6365701423,1709929.3360293296,2658199.7740995185
47,2019-02-17,603912.326565146,1571716.8636391808,2520783.6523556244
48,2019-02-18,522861.95288152865,1524012.3077520647,2497752.9042832856
49,2019-02-19,581634.1973318838,1549681.1215679059,2497509.637744641
50,2019-02-20,538863.8033739624,1590602.5319671996,2588909.1464127256
51,2019-02-21,679016.3534710311,1659629.2545058853,2605800.064085535
52,2019-02-22,581666.9052566246,1606573.286812403,2580335.916505562
53,2019-02-23,519790.1684834799,1572488.8357302905,2531350.8856691336
54,2019-02-24,480590.80450857134,1449622.8668995202,2441660.745617089
55,2019-02-25,440981.5708787589,1421959.9292885475,2324274.683355581
56,2019-02-26,582605.7592028868,1471909.3787647933,2435681.385633793
57,2019-02-27,542283.5060130351,1540764.1832669144,2565294.261240795
58,2019-02-28,675873.3234647874,1640675.101279268,2582605.282628025
59,2019-03-01,615161.8755021786,1620654.3714252436,2560804.39701112
60,2019-03-02,582513.295741354,1620879.4876694288,2562244.2611906705
61,2019-03-03,557293.3281102668,1532666.9850131497,2495679.1540776747
62,2019-03-04,542823.2345875057,1539042.2545433166,2470309.260221849
63,2019-03-05,654440.8919207872,1621452.8286729527,2623440.4390973616
64,2019-03-06,687202.2782109407,1720253.60373777,2740214.571468219
65,2019-03-07,837317.4910160898,1846707.064513345,2827799.752465709
66,2019-03-08,868063.9717031618,1849011.9296088754,2840626.2132949703
67,2019-03-09,963016.6395478693,1866630.1020716582,2840626.7035486037
68,2019-03-10,828783.2591622386,1790281.2061474484,2814302.9777991073
69,2019-03-11,791933.0508751431,1802530.1516693896,2838207.9971236116
70,2019-03-12,867024.7368668888,1884514.6693564588,2888157.0747893834
71,2019-03-13,979673.1376082742,1976440.881787959,2958095.47002826
72,2019-03-14,1149329.7508336725,2089589.6766713825,3098627.288613463
73,2019-03-15,1098895.0869851094,2072347.1194355716,3044421.4345228192
74,2019-03-16,984820.6291459732,2064528.7226270833,3116038.82731027
75,2019-03-17,939100.2732366773,1957366.9087008447,2904303.1757628475
76,2019-03-18,894318.1634469643,1934087.2805997822,2990167.6087485794
77,2019-03-19,1010872.9359315662,1976620.9298301577,2979859.8694953443
78,2019-03-20,1048781.191910494,2026081.238368458,2980987.7705452107
79,2019-03-21,1129004.4304378738,2094748.4279798465,3123836.3334833477
80,2019-03-22,1096881.9017828228,2032075.6594483159,2992483.6250342554
81,2019-03-23,1005422.349160041,1978987.1334052244,2966517.4271064866
82,2019-03-24,856790.0560748447,1827838.2092301047,2835928.884387961
83,2019-03-25,750207.6879041485,1762963.8667350104,2714689.5586017463
84,2019-03-26,816720.6070800929,1767363.4614125534,2712556.2018406466
85,2019-03-27,777436.4288344685,1783150.941037536,2765380.9085153425
86,2019-03-28,857691.0482259283,1823514.4611902342,2850806.8930828297
87,2019-03-29,788968.9045795359,1738699.8398768092,2762085.397317853
88,2019-03-30,693910.3440713265,1670288.8777847216,2640443.309867282
89,2019-03-31,522351.02786843485,1511143.0576575596,2506726.0014399933
90,2019-04-01,466358.1620278354,1445939.354196358,2462719.6550439573
91,2019-04-02,457701.24830922653,1457846.410779446,2481335.8694092897
92,2019-04-03,462162.58771290723,1488970.448927436,2528234.8432933316
93,2019-04-04,555787.4284604201,1552314.933287372,2525078.8637030274
94,2019-04-05,551173.0685216909,1497768.4039669612,2425317.9853429766
95,2019-04-06,524712.4861388974,1466391.362712373,2429554.876395419
96,2019-04-07,373390.6801134159,1350372.47851695,2349128.3640815164
97,2019-04-08,369161.80944574176,1333580.4975894033,2283875.307940489
98,2019-04-09,413074.58707311243,1398259.6774935054,2361992.510460765
99,2019-04-10,453218.8309566615,1485497.5984064972,2389589.2421928504
100,2019-04-11,595357.9798964438,1607208.7989283006,2596484.0750821233
101,2019-04-12,572502.2505957691,1612148.0265915592,2619593.814902755
102,2019-04-13,588376.5708280578,1640223.33822855,2625539.2900833464
103,2019-04-14,596838.6163934505,1582478.6533526205,2539832.888463169
104,2019-04-15,591239.416581596,1621671.4879538924,2549124.689048837
105,2019-04-16,784300.3121472715,1738993.0548102236,2790031.4970507347
106,2019-04-17,810115.1101803138,1874558.9886821292,2863154.3556432985
107,2019-04-18,1033182.9471994905,2039413.6041839719,3009226.4499226455
108,2019-04-19,1163876.0849672859,2081561.0039167274,3033416.5769576915
109,2019-04-20,1163068.2056298708,2140292.879801475,3123279.222212175
110,2019-04-21,1209413.878602617,2106182.3059477205,3118296.1280836277
111,2019-04-22,1235894.0662035125,2161669.0406430373,3176927.341121426
112,2019-04-23,1204749.9808312666,2287783.4121569823,3274033.1193434168
113,2019-04-24,1467095.397346947,2424637.0348848724,3381102.2059703288
114,2019-04-25,1547367.4567054813,2583423.349269131,3570662.520905688
115,2019-04-26,1652127.3125557015,2612441.483106511,3583900.040426611
116,2019-04-27,1705980.1669764915,2651413.5428714044,3629747.7517576795
117,2019-04-28,1594448.815871565,2591464.977461716,3570505.786671068
118,2019-04-29,1674182.9065176237,2615693.9441031376,3578096.9040641505
119,2019-04-30,1787642.2760865027,2705877.2138884207,3669772.5848433333
120,2019-05-01,1923505.9719951907,2906948.2318758927,3891046.9452750483
121,2019-05-02,1946736.4694289241,2918942.836743203,4007084.920064625
122,2019-05-03,1933157.4815791957,2903070.7390129464,3861818.748530562
123,2019-05-04,1893969.7955498341,2895943.3097134763,3829042.9094566954
124,2019-05-05,1844505.0870098353,2789567.9401272438,3780051.641766734
125,2019-05-06,1795721.0258937331,2767891.33317329,3751530.507278722
126,2019-05-07,1886795.5624538956,2813487.7316629887,3804837.5897837887
127,2019-05-08,1886895.3552152026,2868014.3671793113,3863322.3181777606
128,2019-05-09,1993027.3075707266,2944177.982474829,3957284.7169068833
129,2019-05-10,1887884.516966991,2891726.724900184,3866960.592303018
130,2019-05-11,1911667.8957088054,2851738.2400948964,3837149.484756392
131,2019-05-12,1698722.6747529681,2716574.2331456444,3685071.51041157
132,2019-05-13,1670557.1713377568,2670427.939972505,3612506.086573842
133,2019-05-14,1745496.0196604915,2696012.442953041,3744562.230273031
134,2019-05-15,1723674.674384035,2735018.8500069757,3707489.755072658
135,2019-05-16,1863269.391560331,2800087.9992253026,3852399.6826364617
136,2019-05-17,1718294.2526892868,2740809.7370105805,3748356.1362735424
137,2019-05-18,1766153.535966405,2698020.299939939,3735432.6689703166
138,2019-05-19,1576965.301082321,2563767.729095576,3541156.2725615585
139,2019-05-20,1551230.7568863055,2521871.3931970824,3482315.434166573
140,2019-05-21,1545842.5042922841,2554623.1713218684,3476302.7089256104
141,2019-05-22,1701231.1955997816,2603258.9262596876,3561289.8672668803
142,2019-05-23,1636008.9448131446,2679943.5488799387,3633537.2077082107
143,2019-05-24,1618640.046021871,2633783.2567560915,3624609.0800148286
144,2019-05-25,1643951.8303114325,2605135.3399442015,3600976.9839987154
145,2019-05-26,1495159.8439029234,2485584.981008333,3423273.2778868624
146,2019-05-27,1491178.6998552233,2458514.9673044113,3439278.1318755583
147,2019-05-28,1575874.1610530568,2505815.6369945616,3468235.8115189997
148,2019-05-29,1636571.3413904174,2568363.5336678084,3590473.83929609
149,2019-05-30,1671713.3075864096,2658011.949101128,3609928.5161723127
150,2019-05-31,1652223.282719725,2623606.992719522,3661601.3555339817
151,2019-06-01,1682161.743573462,2605299.3903659917,3608519.573129163
152,2019-06-02,1480327.1279966836,2494521.7012798507,3406831.1391573986
153,2019-06-03,1463286.9758167015,2474556.8798764986,3436123.3064213293
154,2019-06-04,1496389.2732507936,2527245.6752437144,3473974.149649483
155,2019-06-05,1552965.3112633335,2593461.527760311,3624287.277801652
156,2019-06-06,1715164.4818555575,2685096.355169043,3625811.128760857
157,2019-06-07,1719551.166263374,2651071.0976821426,3652412.979283011
158,2019-06-08,1638181.352414839,2631641.4659960847,3658859.511473096
159,2019-06-09,1590847.146704425,2518368.823835282,3481711.902438974
160,2019-06-10,1568791.24208009,2494682.368105373,3415180.0655681225
161,2019-06-11,1513336.949685209,2542580.320313216,3457760.061820081
162,2019-06-12,1574712.0946250828,2603098.9896059684,3559722.3150889594
163,2019-06-13,1672971.9202920187,2688293.2720311554,3664467.852648748
164,2019-06-14,1644137.1397785586,2647242.59586738,3576254.2862265753
165,2019-06-15,1604863.9278735504,2620352.8633346786,3650772.9915337698
166,2019-06-16,1554264.7991168273,2499324.3841221803,3538889.783174313
167,2019-06-17,1522004.6208585582,2467711.9957099366,3406264.486403578
168,2019-06-18,1501171.976666808,2507625.073488839,3460577.6076586233
169,2019-06-19,1587081.563638145,2560196.246762923,3441351.05893308
170,2019-06-20,1705421.8514794346,2637562.308431601,3574827.9957844918
171,2019-06-21,1528103.0194282574,2588871.223931711,3541254.2526463387
172,2019-06-22,1561038.0922050506,2554585.661114819,3444455.3151382334
173,2019-06-23,1442509.0139916434,2426452.89638354,3384596.369498754
174,2019-06-24,1400451.6268671546,2388067.1356038027,3363992.315908296
175,2019-06-25,1379102.4542929973,2421571.798153679,3405609.9432242704
176,2019-06-26,1566398.2892039646,2468130.427218388,3424802.19392537
177,2019-06-27,1567601.3463160526,2539909.5717556844,3533830.6514622713
178,2019-06-28,1513190.6061933667,2486087.419012999,3455124.7261734265
179,2019-06-29,1444894.6881150242,2447158.4943932397,3466902.3150229454
180,2019-06-30,1362934.9875284603,2314904.2043498834,3265667.3817256456
181,2019-07-01,1312556.3748362188,2272955.2102285153,3284937.797712857
182,2019-07-02,1347308.6645833938,2303493.1617707927,3316696.1102091214
183,2019-07-03,1427083.7068736076,2347720.4655933636,3316460.826435166
184,2019-07-04,1407276.4755923492,2417841.477488278,3387769.0490023363
185,2019-07-05,1401019.9605127624,2363068.97093999,3386077.6606007055
186,2019-07-06,1438046.6945471861,2323926.2984456085,3380303.804774974
187,2019-07-07,1204527.7238364103,2192215.144367559,3180801.470672099
188,2019-07-08,1144165.8912128757,2151574.997745068,3142535.3896229053
189,2019-07-09,1228132.422413943,2184182.027219417,3122541.5161988433
190,2019-07-10,1240262.309084528,2231216.1918256134,3167675.9625140885
191,2019-07-11,1391840.3594985974,2304840.1350079146,3208427.113419478
192,2019-07-12,1255757.6637268781,2254203.865140504,3179142.016623921
193,2019-07-13,1256619.8914399254,2219745.776221536,3135097.3238517796
194,2019-07-14,1130504.6733175397,2093160.0245012795,3079584.289806403
195,2019-07-15,1108088.254882,2057956.481279255,3062850.85611042
196,2019-07-16,1146823.2554189998,2096161.0049361417,3081569.2713786536
197,2019-07-17,1105781.6708371416,2148784.893983646,3110670.9685610444
198,2019-07-18,1250730.3025425693,2227807.0594702694,3251893.999922356
199,2019-07-19,1085180.3378460284,2182182.873834357,3168199.560548498
200,2019-07-20,1218651.9844573631,2152150.1660208376,3167754.110651883
201,2019-07-21,1090712.8156186857,2029202.2595222024,2944098.705285721
202,2019-07-22,1033756.058894421,1996654.1207501532,2967670.2944646194
203,2019-07-23,1045834.3518153599,2036349.1797568407,3001683.3925781334
204,2019-07-24,1026550.3554206855,2089135.480328657,3070433.362466107
205,2019-07-25,1211454.7940644915,2166854.4759315816,3077784.547909157
206,2019-07-26,1126086.3441590827,2118356.196673532,3070084.315392146
207,2019-07-27,1150420.036641208,2083811.0231195663,3097184.2361698686
208,2019-07-28,1007261.7969306202,1954687.7348230714,2976566.3801735225
209,2019-07-29,860891.4985487597,1914323.686818056,2849680.085210738
210,2019-07-30,983311.9261177744,1944634.4831607647,2825661.3170007793
211,2019-07-31,1023626.6083549032,1986591.6412607722,2924544.887479625
212,2019-08-01,1011756.6002839124,2052211.4348832716,3013109.6092696767
213,2019-08-02,998879.2173662541,1990568.5570457727,2998813.4998764684
214,2019-08-03,980185.8168610282,1942104.7968319063,2872706.4286429696
215,2019-08-04,802003.0254517092,1798602.4084882601,2752162.040906486
216,2019-08-05,678198.0901366533,1743748.0862636892,2766242.703937864
217,2019-08-06,757122.558821217,1759835.0254218362,2774366.1673518396
218,2019-08-07,826401.6308753804,1788231.723614843,2768366.411078627
219,2019-08-08,865855.016425282,1841360.9181694277,2783550.178340275
220,2019-08-09,694635.1593884195,1768702.5463288256,2771645.332679375
221,2019-08-10,810628.3448890174,1711091.20717509,2712387.4908866915
222,2019-08-11,589349.1327446152,1560678.1125692497,2577606.0025508525
223,2019-08-12,529523.9016902569,1501483.768961057,2426110.857683177
224,2019-08-13,529763.4402884815,1516089.2085173985,2553333.499660603
225,2019-08-14,456485.27179120324,1546094.7595602158,2503693.437589043
226,2019-08-15,677198.978947723,1604090.0770510514,2585631.4312318326
227,2019-08-16,550024.2305777028,1539649.6232445857,2609681.7979930723
228,2019-08-17,526072.4352766792,1493624.3487154867,2514269.956150432
229,2019-08-18,351516.0023088607,1358099.7916263002,2363886.5847708597
230,2019-08-19,312680.76699063805,1316947.0188596433,2329397.309108097
231,2019-08-20,351008.1818015977,1352514.3523865663,2267155.211234193
232,2019-08-21,409844.04011561186,1406088.9354528391,2268305.9446426095
233,2019-08-22,479097.09769206034,1489871.8579615606,2471542.0419634115
234,2019-08-23,461797.25207354396,1452980.963100881,2453625.100444765
235,2019-08-24,391791.34095474373,1435751.9513042166,2486019.3973829583
236,2019-08-25,308096.5618897619,1329707.7987282637,2271234.56748622
237,2019-08-26,302583.72228263406,1318122.6553959409,2289553.5960213486
238,2019-08-27,385246.91633933014,1382727.8515625685,2386816.4939089892
239,2019-08-28,491922.29958316166,1464188.7063184674,2454995.3298082897
240,2019-08-29,641038.1191030578,1574095.4599892357,2497432.7265845803
241,2019-08-30,599355.0534365544,1560982.0282507923,2489848.273627908
242,2019-08-31,600711.9356611668,1564642.754446659,2576255.6031172853
243,2019-09-01,495973.4068790785,1476116.7373926882,2395742.349991206
244,2019-09-02,533037.3720949983,1478265.4677710254,2423047.8129884154
245,2019-09-03,567096.5077817389,1552490.9947113711,2501241.8596687713
246,2019-09-04,681617.4546721868,1639222.9448818003,2637608.147364347
247,2019-09-05,782392.9342818814,1749917.3897427144,2688058.020623137
248,2019-09-06,734649.0555782067,1733080.9921636987,2702144.664171759
249,2019-09-07,707778.8247472445,1728590.4070844636,2702106.458328442
250,2019-09-08,564835.7309755199,1627676.385639023,2619431.8698250875
251,2019-09-09,618125.4519132676,1613498.266404272,2583842.6816072417
252,2019-09-10,695471.3928381633,1667856.1074612383,2620656.7579779094
